Category,Rank,Tier,Name,Threat Class,Threat Score,EHP,DPS,HP,ATK,DEF,RES,Attack Interval,Rank (threat_score),Tier (threat_score),Rank (hp),Tier (hp),Rank (ehp),Tier (ehp),Rank (dps),Tier (dps),Rank (atk),Tier (atk),Rank (def),Tier (def),Rank (res),Tier (res),Rank (weight),Tier (weight)
all,181,C,萨卡兹枯朽战士组长,NORMAL,185,17325,180,5500,450,100,20.0,2.50,181,C,227,C,185,C,188,C,179,C,321,E,191,C,195,C
all,182,C,可汗片影,NORMAL,184,12000,233,4000,700,500,30.0,3.00,182,C,282,D,223,C,122,B,112,B,147,B,136,B,170,B
all,183,C,无胄盟刺客组长,NORMAL,176,12375,227,5500,500,300,20.0,2.20,183,C,228,C,215,C,129,B,167,B,179,C,192,C,196,C
all,184,C,困困荪茸,NORMAL,175,30800,100,8000,350,500,20.0,3.50,184,C,172,B,133,B,294,D,230,C,148,B,193,C,325,E
all,185,C,大名碎壳螈,NORMAL,172,23750,113,10000,450,300,25.0,4.00,185,C,148,B,160,B,284,D,180,C,180,C,158,B,197,C
all,186,C,霜劫·争,NORMAL,171,25025,117,11000,350,360,15.0,3.00,186,C,123,B,153,B,275,D,231,C,162,B,268,D,326,E
all,187,C,热烈舞团独舞者,NORMAL,170,24000,100,12000,100,300,10.0,1.00,187,C,117,B,159,B,295,D,336,E,181,C,293,D,171,B
all,188,C,游击队猎犬pro,NORMAL,168,7125,300,3800,420,150,20.0,1.40,188,C,306,D,301,D,76,A,189,C,265,D,194,C,327,E
all,189,C,疲倦道具师,NORMAL,164,16000,100,8000,200,200,20.0,2.00,189,C,173,B,190,C,296,D,318,E,218,C,195,C,139,B
all,190,C,巫王乐团小号手,NORMAL,164,19600,125,7000,250,250,15.0,2.00,190,C,191,C,174,B,265,D,307,D,198,C,269,D,198,C
all,191,C,访问团强攻手,NORMAL,163,12000,183,6000,550,300,10.0,3.00,191,C,210,C,224,C,183,C,152,B,182,C,294,D,172,B
all,192,C,萨卡兹征用尖端无人机,NORMAL,161,16200,144,9000,650,220,10.0,4.50,192,C,157,B,189,C,243,C,124,B,209,C,295,D,199,C
all,193,C,深池弩炮队长,NORMAL,161,17813,120,7500,600,350,20.0,5.00,193,C,182,C,183,C,271,D,141,B,169,B,196,C,173,B
all,194,C,好外号热衷者,NORMAL,161,13000,200,6500,500,200,20.0,2.50,194,C,200,C,208,C,157,B,168,B,219,C,197,C,328,E
all,195,C,执拗的收音师,NORMAL,159,8750,200,5000,400,150,15.0,2.00,195,C,241,C,264,D,158,B,194,C,266,D,270,D,200,C
all,196,C,游击队战士组长,NORMAL,159,10688,165,4500,330,350,20.0,2.00,196,C,260,D,234,C,210,C,254,C,170,B,198,C,201,C
all,197,C,迂回的“匕现”,NORMAL,159,13200,133,6000,400,280,20.0,3.00,197,C,211,C,206,C,257,D,195,C,193,C,199,C,202,C
all,198,C,精致糖果车,NORMAL,159,7600,300,3800,300,200,20.0,1.00,198,C,307,D,290,D,77,A,271,D,220,C,200,C,203,C
all,199,C,山海众游勇,NORMAL,159,12000,192,6000,480,200,20.0,2.50,199,C,212,C,225,C,168,B,174,B,221,C,201,C,204,C
all,200,C,宿主拾荒者,NORMAL,158,12450,167,6000,500,130,30.0,3.00,200,C,213,C,214,C,206,C,169,B,301,D,137,B,174,B
all,201,C,排球发球车,NORMAL,158,13500,140,6000,350,400,10.0,2.50,201,C,214,C,203,C,247,C,232,C,157,B,296,D,140,B
all,202,C,乌萨斯裂兽族母,NORMAL,155,8050,300,4600,450,100,20.0,1.50,202,C,259,D,280,D,78,A,181,C,322,E,202,C,329,E
all,203,C,慷慨之赐,NORMAL,154,9000,200,3000,800,200,20.0,4.00,203,C,326,E,256,D,159,B,84,A,222,C,203,C,141,B
all,204,C,萨卡兹枯朽战士,NORMAL,154,14175,152,4500,380,100,20.0,2.50,204,C,261,D,200,C,226,C,210,C,323,E,204,C,205,C
all,205,C,乌萨斯高级突袭弩手,NORMAL,151,11000,187,5500,430,200,20.0,2.30,205,C,229,C,230,C,174,B,186,C,223,C,205,C,206,C
all,206,C,速射劲弩手,NORMAL,151,10313,200,5500,400,250,10.0,2.00,206,C,230,C,239,C,160,B,196,C,199,C,297,D,207,C
all,207,C,遮天面包机,NORMAL,151,15750,132,7000,330,300,20.0,2.50,207,C,192,C,194,C,261,D,255,D,183,C,206,C,208,C
all,208,C,萨卡兹子裔战士组长,NORMAL,150,10238,200,4500,400,210,30.0,2.00,208,C,262,D,240,C,161,B,197,C,211,C,138,B,209,C
all,209,C,家族精英士兵,NORMAL,150,7480,208,4400,375,180,10.0,1.80,209,C,275,D,295,D,146,B,221,C,254,C,298,D,210,C
all,210,C,访问团突击老兵,NORMAL,150,12250,167,7000,500,200,10.0,3.00,210,C,193,C,216,C,207,C,170,B,224,C,299,D,211,C
all,211,C,椰壳蟹,NORMAL,150,22400,100,8000,300,300,10.0,3.00,211,C,174,B,168,B,297,D,272,D,184,C,300,D,330,E
all,212,C,“面子”,NORMAL,148,13500,133,6000,400,200,30.0,3.00,212,C,215,C,204,C,258,D,198,C,225,C,139,B,175,B
all,213,C,街头火舞艺人,NORMAL,147,13000,138,6500,550,300,10.0,4.00,213,C,201,C,209,C,253,C,153,B,185,C,301,D,176,C
all,214,C,萨卡兹子裔工匠,NORMAL,145,12750,150,6000,300,250,20.0,2.00,214,C,216,C,212,C,234,C,273,D,200,C,207,C,212,C
all,215,C,深池暗影术师队长,NORMAL,144,12188,153,6500,460,150,20.0,3.00,215,C,202,C,220,C,225,C,175,B,267,D,208,C,213,C
all,216,C,黑土游击弩手,NORMAL,144,10000,187,5000,430,200,20.0,2.30,216,C,242,C,243,C,175,B,187,C,226,C,209,C,214,C
all,217,C,抱蛋羽兽,NORMAL,144,18375,86,7500,300,150,15.0,3.50,217,C,183,C,179,C,316,E,274,D,268,D,271,D,142,B
all,218,C,冠鸣龙王,NORMAL,143,10794,190,5500,380,135,25.0,2.00,218,C,231,C,231,C,170,B,211,C,300,D,159,B,331,E
all,219,C,糖果车,NORMAL,142,6125,300,3500,300,100,20.0,1.00,219,C,314,E,321,E,79,A,275,D,324,E,210,C,215,C
all,220,C,大君之赐,NORMAL,142,9000,170,3000,680,200,20.0,4.00,220,C,327,E,257,D,199,C,113,B,227,C,211,C,143,B
all,221,C,大君之赐,NORMAL,142,9000,170,3000,680,200,20.0,4.00,221,C,328,E,258,D,200,C,114,B,228,C,212,C,144,B
all,222,C,山海众传令手,NORMAL,141,14063,117,7500,350,150,20.0,3.00,222,C,184,C,201,C,276,D,233,C,269,D,213,C,177,C
all,223,C,空值体,NORMAL,141,8750,229,5000,320,100,20.0,1.40,223,C,243,C,265,D,125,B,260,D,325,E,214,C,332,E
all,224,C,老练拾荒者,NORMAL,140,8450,210,5200,210,150,10.0,1.00,224,C,239,C,270,D,145,B,317,E,270,D,302,D,216,C
all,225,C,异质源石虫,NORMAL,140,11813,150,4500,300,100,20.0,2.00,225,C,263,D,227,C,235,C,276,D,326,E,215,C,217,C
all,226,C,无胄盟刺客,NORMAL,138,9563,182,4500,400,250,20.0,2.20,226,C,264,D,251,C,184,C,199,C,201,C,216,C,218,C
all,227,C,游击队狙击手组长,NORMAL,137,9000,144,4000,390,300,20.0,2.70,227,C,283,D,259,D,244,C,208,C,186,C,217,C,219,C
all,228,C,巫王乐团圆号手,NORMAL,136,25200,67,9000,200,250,15.0,3.00,228,C,158,B,152,B,326,E,319,E,202,C,272,D,220,C
all,229,C,游击队猎犬,NORMAL,134,5438,250,2900,350,150,20.0,1.40,229,C,341,F,334,E,113,B,234,C,271,D,218,C,333,E
all,230,C,霜劫,NORMAL,134,19125,93,9000,280,300,15.0,3.00,230,C,159,B,175,B,311,E,300,D,187,C,273,D,334,E
all,231,C,临时收音师,NORMAL,133,7000,175,4000,350,150,15.0,2.00,231,C,284,D,302,D,195,C,235,C,272,D,274,D,221,C
all,232,C,提亚卡乌神投手,NORMAL,133,6175,262,3800,340,150,10.0,1.30,232,C,308,E,320,E,96,A,251,C,273,D,303,D,222,C
all,233,C,感染者高级纠察官,NORMAL,133,8063,200,4300,400,150,20.0,2.00,233,C,278,D,279,D,162,B,200,C,274,D,219,C,223,C
all,234,C,认真的“阿咬”,NORMAL,132,6500,185,4000,370,150,10.0,2.00,234,C,285,D,309,E,177,C,222,C,275,D,304,D,224,C
all,235,C,残党乐团小号手,NORMAL,132,15750,100,6000,200,200,15.0,2.00,235,C,217,C,195,C,298,D,320,E,229,C,275,D,225,C
all,236,C,投矛的勇士,NORMAL,132,8775,180,5400,450,150,10.0,2.50,236,C,238,C,263,D,189,C,182,C,276,D,305,D,226,C
all,237,C,乌萨斯弩手幸存者,NORMAL,131,8000,196,4000,450,200,20.0,2.30,237,C,286,D,281,D,165,B,183,C,230,C,220,C,227,C
all,238,C,提亚卡乌卫士,NORMAL,129,5490,211,3600,380,110,10.0,1.80,238,C,311,E,332,E,143,B,212,C,318,E,306,D,228,C
all,239,C,联合政府军犬pro,NORMAL,129,6125,271,3500,380,100,20.0,1.40,239,C,315,E,322,E,91,A,213,C,327,E,221,C,335,E
all,240,C,异光体漂游者,NORMAL,129,12710,109,6200,380,120,30.0,3.50,240,C,206,C,213,C,287,D,214,C,306,D,140,B,178,C
all,241,C,深池弩炮手,NORMAL,128,13500,100,6000,500,300,20.0,5.00,241,C,218,C,205,C,299,D,171,B,188,C,222,C,179,C
all,242,C,"碎壳螈
",NORMAL,128,17000,88,8000,350,250,20.0,4.00,242,C,175,B,188,C,315,E,236,C,203,C,223,C,229,C
all,243,C,市井流窜盗贼,NORMAL,127,7750,190,5000,380,120,10.0,2.00,243,C,244,C,286,D,171,B,215,C,307,D,307,D,230,C
all,244,C,“护目镜”帮派打手,NORMAL,127,9240,158,4800,410,220,15.0,2.60,244,C,256,D,255,D,222,C,190,C,210,C,276,D,231,C
all,245,C,游击队战士,NORMAL,127,7425,150,3300,300,300,20.0,2.00,245,C,323,E,296,D,236,C,277,D,189,C,224,C,232,C
all,246,C,山海众散兵,NORMAL,126,9000,160,4500,400,200,20.0,2.50,246,C,265,D,260,D,218,C,201,C,231,C,225,C,233,C
all,247,C,宿主士兵组长,NORMAL,125,8500,167,4000,300,150,30.0,1.80,247,C,287,D,268,D,208,C,278,D,277,D,141,B,234,C
all,248,C,乌萨斯裂兽,NORMAL,125,6125,253,3500,380,100,20.0,1.50,248,C,316,E,323,E,104,B,216,C,328,E,226,C,336,E
all,249,C,布景小丑,NORMAL,124,13838,100,4500,300,120,30.0,3.00,249,C,266,D,202,C,300,D,279,D,308,E,142,B,235,C
all,250,C,富营养的喷吐者,NORMAL,124,10000,107,5000,320,200,20.0,3.00,250,C,245,C,244,C,289,D,261,D,232,C,227,C,236,C
all,251,C,坚冰AS.T,NORMAL,124,13125,117,7000,350,150,20.0,3.00,251,C,194,C,207,C,277,D,237,C,278,D,228,C,337,E
all,252,C,钻石飞翼,NORMAL,124,4500,100,3000,100,100,10.0,1.00,252,C,329,E,346,F,301,D,337,E,329,E,308,E,145,B
all,253,C,富营养的滑动者,NORMAL,123,5850,180,3600,360,150,10.0,2.00,253,C,312,E,329,E,190,C,223,C,279,D,309,E,237,C
all,254,C,固海凿石者,NORMAL,123,10500,120,6000,300,200,10.0,2.50,254,C,219,C,236,C,272,D,280,D,233,C,310,E,180,C
all,255,C,小寄居蟹,NORMAL,123,10500,120,6000,300,200,10.0,2.50,255,D,220,C,237,C,273,D,281,D,234,C,311,E,181,C
all,256,C,新手拾荒者,NORMAL,122,7313,185,4500,185,150,10.0,1.00,256,D,267,D,298,D,178,C,327,E,280,D,312,E,238,C
all,257,C,技术侦察兵,NORMAL,121,12250,108,7000,270,100,20.0,2.50,257,D,195,C,217,C,288,D,305,D,330,E,229,C,239,C
all,258,D,暗潮钳兽·α,NORMAL,121,7700,190,2800,400,400,30.0,2.10,258,D,342,F,288,D,172,B,202,C,158,B,143,B,338,E
all,259,D,速射轻弩手,NORMAL,121,7650,175,4500,350,180,10.0,2.00,259,D,268,D,289,D,196,C,238,C,255,D,313,E,240,C
all,260,D,“匕现”,NORMAL,120,10080,100,4800,300,240,20.0,3.00,260,D,257,D,242,C,302,D,282,D,208,C,230,C,241,C
all,261,D,家族精英弩手,NORMAL,120,9625,136,5500,380,200,10.0,2.80,261,D,232,C,247,C,254,C,217,C,235,C,314,E,242,C
all,262,D,沼泽钳兽,NORMAL,120,8250,175,2000,350,400,30.0,2.00,262,D,352,F,275,D,197,C,239,C,159,B,144,B,339,E
all,263,D,巫王乐团长笛手,NORMAL,120,8125,160,5000,320,150,10.0,2.00,263,D,246,C,277,D,219,C,262,D,281,D,315,E,243,C
all,264,D,萨卡兹子裔战士,NORMAL,118,7380,170,3600,340,120,30.0,2.00,264,D,313,E,297,D,201,C,252,C,309,E,145,B,244,C
all,265,D,家族士兵,NORMAL,118,5425,178,3500,320,120,10.0,1.80,265,D,317,E,335,E,192,C,263,D,310,E,316,E,245,C
all,266,D,喷射背包客,NORMAL,118,7000,200,3500,380,200,20.0,1.90,266,D,318,E,303,D,163,B,218,C,236,C,231,C,340,E
all,267,D,远眺·B,NORMAL,117,10725,117,5500,350,180,20.0,3.00,267,D,233,C,233,C,278,D,240,C,256,D,232,C,246,C
all,268,D,乌萨斯突袭弩手,NORMAL,116,8000,152,4000,350,200,20.0,2.30,268,D,288,D,282,D,227,C,241,C,237,C,233,C,247,C
all,269,D,游击队狙击手,NORMAL,115,6750,136,3000,340,300,20.0,2.50,269,D,330,E,307,D,255,D,253,C,190,C,234,C,248,C
all,270,D,冰原战士队长,NORMAL,115,7500,159,4000,350,150,20.0,2.20,270,D,289,D,291,D,221,C,242,C,282,D,235,C,249,C
all,271,D,冰原猎人队长,NORMAL,115,9375,129,5000,450,150,20.0,3.50,271,D,247,C,252,C,263,D,184,C,283,D,236,C,250,C
all,272,D,开天汽水瓶·酸辣味,NORMAL,114,9750,133,6500,400,100,10.0,3.00,272,D,203,C,245,C,259,D,203,C,331,E,317,E,341,F
all,273,D,恶尘源石虫·α,NORMAL,111,10238,100,6500,400,130,10.0,4.00,273,D,204,C,241,C,303,D,204,C,302,D,318,E,182,C
all,274,D,精锐西西里人,NORMAL,110,6270,175,3800,350,160,10.0,2.00,274,D,309,E,316,E,198,C,243,C,259,D,319,E,251,C
all,275,D,访问团突击新兵,NORMAL,110,8250,133,5500,400,100,10.0,3.00,275,D,234,C,276,D,260,D,205,C,332,E,320,E,252,C
all,276,D,萨卡兹征用工程无人机,NORMAL,109,9750,111,6000,500,150,10.0,4.50,276,D,221,C,246,C,286,D,172,B,284,D,321,E,253,C
all,277,D,残党乐团圆号手,NORMAL,108,21000,50,8000,150,200,15.0,3.00,277,D,176,C,170,B,333,E,329,E,238,C,277,D,254,C
all,278,D,山谷雪灵,NORMAL,108,10500,100,6000,300,150,15.0,3.00,278,D,222,C,238,C,304,D,283,D,285,D,278,D,255,D
all,279,D,感染者纠察官,NORMAL,106,6188,165,3300,330,150,20.0,2.00,279,D,324,E,318,E,211,C,256,D,286,D,237,C,256,D
all,280,D,脊海喷吐者,NORMAL,106,8360,93,4400,280,160,20.0,3.00,280,D,276,D,274,D,312,E,301,D,260,D,238,C,257,D
all,281,D,除秽,NORMAL,105,6013,165,3700,330,150,10.0,2.00,281,D,310,E,325,E,212,C,257,D,287,D,322,E,258,D
all,282,D,小型共生体,NORMAL,104,5250,206,3000,350,200,10.0,1.70,282,D,331,E,337,E,147,B,244,C,239,C,323,E,342,F
all,283,D,市井盗贼,NORMAL,103,6000,160,4000,320,100,10.0,2.00,283,D,290,D,326,E,220,C,264,D,333,E,324,E,259,D
all,284,D,失控的修理小助手,NORMAL,103,5313,180,2500,360,200,25.0,2.00,284,D,348,F,336,E,191,C,224,C,240,C,160,B,260,D
all,285,D,潜水队长,NORMAL,102,8000,119,4000,320,200,20.0,2.70,285,D,291,D,283,D,274,D,265,D,241,C,239,C,261,D
all,286,D,冠鸣龙,NORMAL,102,7000,150,4000,300,100,20.0,2.00,286,D,292,D,304,D,237,C,284,D,334,E,240,C,343,F
all,287,D,蓝冠羽镖客,NORMAL,102,9000,117,4500,350,100,30.0,3.00,287,D,269,D,261,D,279,D,245,C,335,E,146,B,344,F
all,288,D,富营养的飘航者,NORMAL,101,8500,83,4000,250,250,20.0,3.00,288,D,293,D,269,D,317,E,308,E,204,C,241,C,262,D
all,289,D,“护目镜”帮派窃贼,NORMAL,100,7300,123,4000,320,180,15.0,2.60,289,D,294,D,299,D,269,D,266,D,257,D,279,D,263,D
all,290,D,残党乐团长笛手,NORMAL,100,6500,140,4000,280,150,10.0,2.00,290,D,295,D,310,E,248,C,302,D,288,D,325,E,264,D
all,291,D,联合政府军犬,NORMAL,100,4375,229,2500,320,100,20.0,1.40,291,D,349,F,351,F,126,B,267,D,336,E,242,C,345,F
all,292,D,微核沉积者,NORMAL,100,11250,80,4500,400,500,10.0,5.00,292,D,270,D,229,C,319,E,206,C,149,B,326,E,265,D
all,293,D,投矛的士兵,NORMAL,100,6300,144,4200,360,100,10.0,2.50,293,D,279,D,314,E,245,C,225,C,337,E,327,E,266,D
all,294,D,“阿咬”,NORMAL,99,4650,145,3000,290,120,10.0,2.00,294,D,332,E,343,F,239,C,296,D,311,E,328,E,267,D
all,295,D,去蚀,NORMAL,99,7150,125,4400,350,150,10.0,2.80,295,D,277,D,300,D,266,D,246,C,289,D,329,E,268,D
all,296,D,清醒的墨魉,NORMAL,99,4650,145,3000,290,120,10.0,2.00,296,D,333,E,344,F,240,C,297,D,312,E,330,E,269,D
all,297,D,市井流窜猎手,NORMAL,96,8400,100,4800,350,200,10.0,3.50,297,D,258,D,273,D,305,D,247,C,242,C,331,E,270,D
all,298,D,深池暗影术师,NORMAL,96,8438,100,4500,300,150,20.0,3.00,298,D,271,D,271,D,306,D,285,D,290,D,243,C,271,D
all,299,D,荒地鼷兽,NORMAL,96,4650,200,3000,400,120,10.0,2.00,299,D,334,E,345,F,164,B,207,C,313,E,332,E,346,F
all,300,D,骨海漂流体,NORMAL,95,6500,125,4000,250,150,10.0,2.00,300,D,296,D,311,E,267,D,309,E,291,D,333,E,272,D
all,301,D,底海滑动者,NORMAL,94,4410,140,2800,280,130,10.0,2.00,301,D,343,F,350,F,249,C,303,D,303,D,334,E,273,D
all,302,D,坚冰,NORMAL,94,8750,100,5000,300,100,20.0,3.00,302,D,248,C,266,D,307,D,286,D,338,E,244,C,347,F
all,303,D,开天汽水瓶,NORMAL,94,7500,117,5000,350,100,10.0,3.00,303,D,249,C,292,D,280,D,248,C,339,E,335,E,348,F
all,304,D,训练用钳兽,NORMAL,93,5750,152,2000,380,450,30.0,2.50,304,D,353,F,330,E,228,C,219,C,151,B,147,B,349,F
all,305,D,提亚卡乌投矛手,NORMAL,92,4200,185,2800,240,100,10.0,1.30,305,D,344,F,354,F,179,C,314,E,340,E,336,E,274,D
all,306,D,果冻丁,NORMAL,92,4375,193,2500,290,100,20.0,1.50,306,D,350,F,352,F,166,B,298,D,341,F,245,C,350,F
all,307,D,家族弩手,NORMAL,91,7000,107,4000,300,200,10.0,2.80,307,D,297,D,305,D,290,D,287,D,243,C,337,E,275,D
all,308,E,恶尘源石虫,NORMAL,90,9000,75,6000,300,100,10.0,4.00,308,E,223,C,262,D,321,E,288,D,342,F,338,E,183,C
all,309,E,“两栖号”船车,NORMAL,90,14700,50,4200,500,700,30.0,10.00,309,E,280,D,197,C,334,E,173,B,90,A,148,B,276,D
all,310,E,雪顽童,NORMAL,90,12250,60,7000,300,200,10.0,5.00,310,E,196,C,218,C,330,E,289,D,244,C,339,E,277,D
all,311,E,夜色雪球,NORMAL,90,12250,60,7000,300,200,10.0,5.00,311,E,197,C,219,C,331,E,290,D,245,C,340,E,278,D
all,312,E,冰原战士,NORMAL,89,5250,136,3000,300,100,20.0,2.20,312,E,335,E,338,E,256,D,291,D,343,F,246,C,279,D
all,313,E,宿主士兵,NORMAL,88,5000,139,2500,250,100,30.0,1.80,313,E,351,F,341,F,250,C,310,E,344,F,149,B,280,D
all,314,E,暗潮钳兽,NORMAL,87,4500,167,1800,350,300,30.0,2.10,314,E,355,F,347,F,209,C,249,C,191,C,150,B,351,F
all,315,E,见习祭司学徒,NORMAL,87,9625,72,5500,360,100,20.0,5.00,315,E,235,C,248,C,324,E,226,C,345,F,247,C,281,D
all,316,E,莱塔尼亚叛兵组长,NORMAL,86,7500,90,4000,180,150,20.0,2.00,316,E,298,D,293,D,313,E,328,E,292,D,248,C,282,D
all,317,E,远眺,NORMAL,86,8100,83,4500,250,120,20.0,3.00,317,E,272,D,278,D,318,E,311,E,314,E,249,C,283,D
all,318,E,秽,NORMAL,85,4500,145,3000,290,100,10.0,2.00,318,E,336,E,348,F,241,C,299,D,346,F,341,F,284,D
all,319,E,迷茫的修理小助手,NORMAL,84,4250,150,2000,300,200,25.0,2.00,319,E,354,F,353,F,238,C,292,D,246,C,161,B,285,D
all,320,E,“街头音乐家”,NORMAL,84,6200,103,4000,360,120,10.0,3.50,320,E,299,D,317,E,292,D,227,C,315,E,342,F,286,D
all,321,E,血色异种菌,NORMAL,84,18750,26,6250,130,700,10.0,5.00,321,E,205,C,178,C,345,F,332,E,91,A,343,F,287,D
all,322,E,冰原猎人,NORMAL,82,6125,100,3500,350,100,20.0,3.50,322,E,319,E,324,E,308,E,250,C,347,F,250,C,288,D
all,323,E,匪帮窃贼头目,NORMAL,81,11900,50,7000,100,180,10.0,2.00,323,E,198,C,226,C,335,E,338,E,258,D,344,F,289,D
all,324,E,巫术石球,NORMAL,81,6000,100,3000,200,200,20.0,2.00,324,E,337,E,327,E,309,E,321,E,247,C,251,C,290,D
all,325,E,浮海飘航者,NORMAL,80,6000,73,3000,220,200,20.0,3.00,325,E,338,E,328,E,323,E,316,E,248,C,252,C,291,D
all,326,E,隐形弩手组长,NORMAL,79,4928,115,2700,310,130,20.0,2.70,326,E,345,F,342,F,281,D,268,D,304,D,253,C,292,D
all,327,E,惊躁伏翼兽,NORMAL,79,8438,67,4500,200,150,20.0,3.00,327,E,273,D,272,D,327,E,322,E,293,D,254,C,293,D
all,328,E,蚀,NORMAL,79,5250,107,3500,300,100,10.0,2.80,328,E,320,E,339,E,291,D,293,D,348,F,345,F,294,D
all,329,E,潜水员,NORMAL,78,6188,89,3300,240,150,20.0,2.70,329,E,325,E,319,E,314,E,315,E,294,D,255,D,295,D
all,330,E,西西里人,NORMAL,75,4050,125,2700,250,100,10.0,2.00,330,E,346,F,355,F,268,D,312,E,349,F,346,F,296,D
all,331,E,市井猎手,NORMAL,72,6500,71,4000,250,150,10.0,3.50,331,E,300,D,312,E,325,E,313,E,295,D,347,F,297,D
all,332,E,仁慈之触,NORMAL,72,3375,152,1500,380,100,10.0,2.50,332,E,357,F,356,F,229,C,220,C,350,F,348,F,352,F
all,333,E,狂奔的斐迪庇第斯,NORMAL,71,22800,20,9600,100,300,25.0,5.00,333,E,150,B,163,B,347,F,339,E,192,C,162,B,298,D
all,334,E,洞栖雪灵,NORMAL,70,6750,67,4500,200,100,10.0,3.00,334,E,274,D,308,E,328,E,323,E,351,F,349,F,299,D
all,335,E,异种菌,NORMAL,69,15000,22,5000,110,700,10.0,5.00,335,E,250,C,196,C,346,F,335,E,92,A,350,F,300,D
all,336,E,新手祭司学徒,NORMAL,68,7000,60,4000,300,100,20.0,5.00,336,E,301,D,306,D,332,E,294,D,352,F,256,D,301,D
all,337,E,新生血裔,NORMAL,66,8000,50,4000,100,200,20.0,2.00,337,E,302,D,284,D,336,E,340,E,249,C,257,D,302,D
all,338,E,橡胶弹狙击手,NORMAL,66,5250,75,3500,300,100,10.0,4.00,338,E,321,E,340,E,322,E,295,D,353,F,351,F,303,D
all,339,E,匪帮窃贼,NORMAL,65,7750,50,5000,100,120,10.0,2.00,339,E,251,C,287,D,337,E,341,F,316,E,352,F,304,D
all,340,E,雪孩子,NORMAL,65,9625,40,5500,200,200,10.0,5.00,340,E,236,C,249,C,342,F,324,E,250,C,353,F,305,D
all,341,F,蓬松雪球,NORMAL,65,9625,40,5500,200,200,10.0,5.00,341,F,237,C,250,C,343,F,325,E,251,C,354,F,306,D
all,342,F,莱塔尼亚叛兵,NORMAL,63,5475,65,3000,130,130,20.0,2.00,342,F,339,E,333,E,329,E,333,E,305,D,258,D,307,D
all,343,F,大君之触,NORMAL,61,3375,112,1500,280,100,10.0,2.50,343,F,358,F,357,F,285,D,304,D,354,F,355,F,353,F
all,344,F,狙击步兵组长,NORMAL,60,6500,50,4000,200,150,10.0,4.00,344,F,303,D,313,E,338,E,326,E,296,D,356,F,308,E
all,345,F,伏翼兽,NORMAL,59,6300,50,3500,150,120,20.0,3.00,345,F,322,E,315,E,339,E,330,E,317,E,259,D,309,E
all,346,F,小跑的斐迪庇第斯,NORMAL,59,16000,20,8000,100,200,20.0,5.00,346,F,177,C,191,C,348,F,342,F,252,C,260,D,310,E
all,347,F,隐形弩手,NORMAL,58,3150,96,1800,260,100,20.0,2.70,347,F,356,F,358,F,310,E,306,D,355,F,261,D,311,E
all,348,F,狙击步兵,NORMAL,43,4500,38,3000,150,100,10.0,4.00,348,F,340,E,349,F,344,F,331,E,356,F,357,F,312,E
all,349,F,御4,NORMAL,0,7500,0,4000,0,150,20.0,2.00,349,F,304,D,294,D,349,F,349,F,297,D,262,D,313,E
all,350,F,萨卡兹哨兵,NORMAL,0,8000,0,4000,0,100,30.0,1.00,350,F,305,D,285,D,350,F,350,F,357,F,151,B,314,E
all,351,F,萨卡兹哨兵组长,NORMAL,0,10750,0,5000,0,160,30.0,1.00,351,F,252,C,232,C,351,F,351,F,261,D,152,B,315,E
all,352,F,赞助无人机,NORMAL,0,9375,0,5000,0,150,20.0,1.00,352,F,253,C,253,C,352,F,352,F,298,D,263,D,354,F
all,353,F,斗志昂扬无人机,NORMAL,0,9375,0,5000,0,150,20.0,1.00,353,F,254,C,254,C,353,F,353,F,299,D,264,D,355,F
all,354,F,变异食肉植物,NORMAL,0,24375,0,13000,0,250,10.0,2.50,354,F,102,B,157,B,354,F,354,F,205,C,358,F,184,C
all,355,F,积雪银凇,NORMAL,0,22500,0,7500,0,600,20.0,1.00,355,F,185,C,166,B,355,F,355,F,108,B,265,D,356,F
all,356,F,二手廉价无人机,NORMAL,0,8750,0,5000,0,100,20.0,1.00,356,F,255,D,267,D,356,F,356,F,358,F,266,D,357,F
all,357,F,二手改装无人机,NORMAL,0,22500,0,10000,0,200,30.0,1.00,357,F,149,B,167,B,357,F,357,F,253,C,153,B,358,F
all,358,F,移动电源,NORMAL,0,17813,0,7500,0,250,30.0,3.00,358,F,186,C,184,C,358,F,358,F,206,C,154,B,316,E
boss,1,S,坎诺特,BOSS,9031,1300000,1650,100000,0,4000,80.0,1.00,1,S,2,A,3,B,1,S,9,E,1,S,1,S,7,C
boss,2,A,熔戈者，护王余火,BOSS,6845,750000,1417,100000,3000,2000,60.0,4.50,2,A,3,B,7,C,3,B,1,S,5,C,5,C,4,B
boss,3,B,特雷西斯，黑冠尊主,BOSS,6512,1631250,650,150000,3000,2000,50.0,6.00,3,B,1,S,2,A,8,D,2,A,6,C,6,C,6,C
boss,4,B,杜卡雷，“君主之红”,BOSS,6270,1282500,633,100000,2000,1000,50.0,6.00,4,B,4,B,4,B,9,E,6,C,8,D,7,C,1,S
boss,5,B,“阿米娅”,BOSS,5865,936000,1350,40000,3000,4000,80.0,5.00,5,C,9,E,5,C,4,B,3,B,2,A,2,A,2,A
boss,6,C,“迷迭香”，虚实之握,BOSS,5738,641250,1500,50000,2000,1000,50.0,4.00,6,C,7,C,8,D,2,A,7,C,9,E,8,D,9,E
