Rank,Tier,Operator,Skill,Module,Score,Phys DPS,Arts DPS,True DPS,Ele DPS,Wave TTC,Boss TTC,HPS,EHP Phys,Support Value
792,A,Suzuran,RAW,No Module,69.13,0.00,86343.41,0.00,0.00,1800.00,916.87,0.00,1480.00,345.00
793,A,Whisperain,痛觉抑制,WAH-X: A Quaint First-Aid Kit,68.91,0.00,0.00,0.00,0.00,1800.00,1800.00,25366.00,1572.00,0.00
794,A,Ch'en,赤霄·绝影,SWO-Y: Good Old School Days,68.90,252778.99,0.00,0.00,0.00,803.90,564.10,0.00,2880.00,48.99
795,A,Eyjafjalla the Hvít Aska,云霭荫佑,WDM-Y: 想要留下的生命,68.85,0.00,0.00,0.00,0.00,1800.00,1800.00,102334.67,1554.12,96.00
796,A,Ash,支援射击,No Module,68.80,130886.10,0.00,0.00,0.00,1800.00,1800.00,0.00,1689.00,48.99
797,A,Spuria,见机行事,No Module,68.67,213015.38,0.00,0.00,0.00,1490.01,459.24,0.00,1893.00,8.57
798,A,Folinic,复合型药物弹片,No Module,68.66,0.00,35496.42,0.00,0.00,1800.00,1800.00,44370.53,1585.00,0.00
799,A,Whisperain,RAW,WAH-X: A Quaint First-Aid Kit,68.57,0.00,0.00,0.00,0.00,1800.00,1800.00,23893.33,1572.00,0.00
800,A,Ceylon,RAW,WAH-X: Field Research Equipment,68.44,0.00,0.00,0.00,0.00,1800.00,1800.00,34675.20,1455.00,0.00
801,A,Eyjafjalla the Hvít Aska,RAW,No Module,68.37,0.00,0.00,0.00,0.00,1800.00,1800.00,85121.40,1554.12,96.00
802,A,Bellone,家主的余裕,FGT-Y: 实用的工具,68.17,222248.71,0.00,0.00,0.00,1422.24,1729.26,0.00,4282.50,225.00
803,A,Zuo Le,RAW,SBL-Y: 秉烛人的记录,68.03,141220.00,0.00,0.00,0.00,1800.00,1800.00,0.00,11018.80,0.00
804,A,Nian,铜印,No Module,67.68,48913.33,0.00,0.00,0.00,1800.00,1800.00,0.00,1200.00,22.84
805,A,Skadi,跃浪击,No Module,67.68,312348.00,0.00,0.00,0.00,721.64,551.87,0.00,3866.00,0.00
806,A,Lappland the Decadenza,RAW,FUN-X: 狼时,67.55,0.00,281600.00,0.00,0.00,712.74,254.72,0.00,1663.00,9.14
807,A,Folinic,最大剂量输注,No Module,67.50,0.00,0.00,0.00,0.00,1800.00,1800.00,53737.64,1585.00,0.00
808,A,Nearl the Radiant Knight,灿焰长刃,No Module,67.43,219729.07,0.00,0.00,0.00,957.33,671.66,0.00,3550.00,36.75
809,A,Mudrock,岩崩锤,No Module,67.38,100583.04,0.00,0.00,0.00,1251.97,1800.00,0.00,7182.63,14.70
810,A,Amiya (Guard),影霄·奔夜,No Module,67.36,0.00,219677.67,0.00,0.00,1440.55,440.97,0.00,2629.00,176.96
811,A,Logos,殁亡,No Module,67.28,0.00,163540.80,0.00,0.00,1336.79,428.56,0.00,1663.00,202.13
812,A,Shining,教条力场,No Module,67.27,0.00,0.00,0.00,0.00,1800.00,1800.00,98598.74,1613.00,198.33
813,A,Ash,RAW,MAR-Y: Tactical Breaching Round Pack,67.18,68061.60,0.00,0.00,0.00,1800.00,1800.00,0.00,1889.00,48.99
814,A,Bellone,军师的手段,No Module,67.11,117565.08,0.00,0.00,0.00,312.02,1800.00,0.00,2625.00,105.00
815,A,Typhon,迅捷打击·γ型,No Module,67.03,157587.28,0.00,0.00,0.00,216.03,484.79,0.00,1702.00,20.00
816,A,Qanipalaat,坠雪,CCR-Y: Homemade Trekking Poles,67.02,0.00,117617.76,0.00,0.00,635.30,650.59,0.00,1650.00,330.00
817,A,Lappland the Decadenza,RAW,No Module,67.02,0.00,281600.00,0.00,0.00,712.74,254.72,0.00,1503.00,9.14
818,A,Magallan,RAW,SUM-X: Drone Control Module.P,66.88,0.00,41520.00,0.00,0.00,1800.00,1800.00,0.00,1253.00,0.00
819,A,Rosmontis,末梢阻断,No Module,66.82,158564.25,0.00,0.00,0.00,321.29,1800.00,0.00,1944.00,3.67
820,A,Nearl the Radiant Knight,耀阳颔首,No Module,66.81,222895.56,0.00,0.00,0.00,1800.00,1221.03,0.00,3550.00,36.75
821,A,Haze,RAW,No Module,66.68,0.00,49321.80,0.00,0.00,1800.00,1396.73,0.00,1420.00,460.00
822,A,Blacknight,半醒,TAC-X: The Stars and The Sleepyhead,66.60,234908.23,0.00,0.00,0.00,1800.00,1800.00,0.00,4260.00,0.00
823,A,Tsukinogi,迹无,BLS-X: Rouya Bimei,66.54,0.00,0.00,0.00,0.00,1800.00,1800.00,92689.52,4141.86,129.66
824,A,Kal'tsit,指令：熔毁,No Module,66.53,0.00,0.00,102126.32,0.00,1800.00,829.59,125336.84,2449.50,0.00
825,A,Vina Victoria,俱以我之名,No Module,66.52,0.00,134092.80,0.00,0.00,478.89,546.50,0.00,3711.54,194.00
826,A,Pallas,信念的长鞭,INS-Y: 'Light of Heria',66.49,134268.00,0.00,0.00,0.00,1658.92,1800.00,0.00,1963.00,2.45
827,A,Varkáris,同胞的意志,CEN-Y: 回家的路,66.36,124197.73,0.00,0.00,0.00,184.40,1800.00,0.00,6019.33,0.00
828,A,Rosa,分裂射击,SIE-X: Siege Equipment Training Device,66.25,180163.31,0.00,0.00,0.00,277.50,447.04,0.00,1755.00,0.00
829,A,Kestrel,醉刃乱舞,SOL-Y: Intimidator,66.18,71794.41,0.00,0.00,0.00,1800.00,1800.00,0.00,2140.00,0.00
830,A,Myrtle,治愈之翼,No Module,66.13,27076.92,0.00,0.00,0.00,1800.00,1800.00,0.00,1845.00,0.00
831,A,Passenger,电能之触,No Module,66.03,0.00,111524.99,0.00,0.00,633.18,1021.69,0.00,2804.40,385.00
832,A,Entelechia,绯红壁合,REA-X: 易枯萎的航船,66.00,132764.55,0.00,0.00,0.00,391.55,1800.00,0.00,10148.00,0.00
833,A,Ray,广域警觉,HUN-Y: 证明什么？,65.95,359246.92,0.00,0.00,0.00,824.87,274.65,0.00,2133.00,0.00
834,A,Siege,跃空锤,SOL-Y: 'Thy First Vow',65.88,43813.36,0.00,0.00,0.00,1108.37,1800.00,0.00,2511.00,0.00
835,A,Lee,驱凶辟邪,MER-X: 'Wandering',65.87,159655.10,0.00,0.00,0.00,1463.06,1115.53,0.00,2727.00,123.99
836,A,Nian,RAW,PRO-Y: 'Don't Disturb',65.84,59646.67,0.00,0.00,0.00,1800.00,1800.00,0.00,6331.01,0.00
837,A,Ceylon,水灵庇护,WAH-X: Field Research Equipment,65.81,0.00,0.00,0.00,0.00,1800.00,1800.00,38707.20,1455.00,60.00
838,B,Ho'olheyak,群星逶迤,CCR-X: 'Bibliotheca',65.61,0.00,124619.18,0.00,0.00,1800.00,853.87,0.00,3501.00,36.55
839,B,Swire the Elegant Wit,千金一掷,No Module,65.53,229579.20,0.00,0.00,0.00,1438.13,1800.00,0.00,4248.00,0.00
840,B,Lin,流光乍裂,PLX-Y: “情与义”,65.44,0.00,122146.56,0.00,0.00,434.55,932.22,0.00,2048.00,12.25
841,B,Thumpy,“还不走？”,PRP-X: 出发的勇气,65.44,97218.12,0.00,0.00,209111.26,974.24,207.32,0.00,3964.00,0.00
842,B,Vina Victoria,进赴故土,No Module,65.42,0.00,178329.60,0.00,0.00,609.92,347.88,0.00,3711.54,194.00
843,B,Purestream,RAW,WAH-Y: 'The River's Lingering Charm',65.41,0.00,0.00,0.00,0.00,1800.00,1800.00,28648.42,1365.00,0.00
844,B,Młynar,未声张的怒火,LIB-X: “鞘中人”,65.34,71615.10,0.00,0.00,0.00,1800.00,1800.00,0.00,5688.00,0.00
845,B,Sakiko Togawa,满月的舞会 (Organ),LOR-Y: 无言的约定,65.29,756.65,279275.51,0.00,0.00,719.01,150.50,0.00,2356.00,0.00
846,B,Thorns,护身尖刺,LOR-D: 沙蚀,65.28,191814.78,0.00,0.00,0.00,574.03,1800.00,0.00,3866.80,0.00
847,B,Blemishine,慑敌辉光,GUA-Y: Echo of Craftsman's Guild,65.22,73452.80,0.00,0.00,0.00,1800.00,1800.00,31356.36,4131.76,150.00
848,B,Ho'olheyak,但为求索,CCR-X: 'Bibliotheca',65.21,0.00,170312.87,0.00,0.00,1800.00,612.28,0.00,3501.00,36.55
849,B,Tsukinogi,森廻,No Module,65.21,0.00,0.00,0.00,0.00,1800.00,1800.00,77290.12,5194.63,132.48
850,B,Paprika,掩护作战·γ型,XAH-X: “多彩人生”,65.05,0.00,0.00,0.00,0.00,1800.00,1800.00,147775.00,3545.40,0.00
851,B,Entelechia,RAW,REA-X: 易枯萎的航船,64.95,83153.85,0.00,0.00,0.00,679.43,1800.00,0.00,10148.00,0.00
852,B,Crownslayer,RAW,EXE-Y: 木炭画,64.92,0.00,0.00,0.00,0.00,1800.00,1800.00,0.00,1830.00,330.00
853,B,Crownslayer,RAW,EXE-X: 弑君刃,64.91,0.00,0.00,0.00,0.00,1800.00,1800.00,0.00,1825.00,330.00
854,B,Kirin R Yato,空中回旋乱舞,No Module,64.90,181430.67,0.00,0.00,0.00,332.54,1800.00,0.00,1629.00,0.00
855,B,Specter the Unchained,生存的技巧,PUM-Y: The Beauty in the Incomplete,64.88,205600.83,0.00,0.00,0.00,1548.80,1237.25,0.00,5373.28,0.00
856,B,Cairn,覆盖式休整,PRP-X: “降落伞”,64.86,46125.00,0.00,0.00,183251.25,1800.00,380.81,0.00,8815.90,0.00
857,B,Thumpy,“慢慢走~”,No Module,64.85,84840.29,0.00,0.00,190668.28,1119.40,241.43,0.00,3514.00,3.33
858,B,Pinecone,电能过载,RPR-X: 移动电箱,64.83,315824.00,0.00,0.00,0.00,154.80,268.69,0.00,2200.00,0.00
859,B,Kal'tsit,RAW,PHY-X: Mon2tr,64.82,0.00,0.00,0.00,0.00,1800.00,1800.00,51043.86,3266.00,48.99
860,B,Swire the Elegant Wit,仗义疏财,MER-Y: 诗怀雅的龙门美食指南,64.81,158947.20,0.00,0.00,0.00,1800.00,1800.00,0.00,6136.00,0.00
861,B,Penance,一锤定音,UNY-Y: “无罪”,64.73,157791.27,44006.11,0.00,0.00,1800.00,927.20,0.00,6285.25,61.24
862,B,Tomimi,嘉维尔保护方案,No Module,64.61,0.00,232320.00,0.00,0.00,1289.32,451.14,0.00,1920.00,19.60
863,B,Ch'en,赤霄·绝影,SWO-X: Rhodes Island Standard Combat Sword,64.58,225629.19,0.00,0.00,0.00,928.33,1063.31,0.00,2880.00,48.99
864,B,Crownslayer,RAW,No Module,64.53,0.00,0.00,0.00,0.00,1800.00,1800.00,0.00,1695.00,330.00
865,B,Mudrock,防御力强化·γ型,UNY-X: Spreading Roots of Soil and Stone,64.47,277443.75,0.00,0.00,0.00,1492.37,758.12,0.00,1714.29,0.00
866,B,Snegurochka,循理归因,No Module,64.43,34583.04,0.00,0.00,0.00,1800.00,1800.00,0.00,1645.00,6.67
867,B,Horn,照明榴弹,FOR-X: Exemplars,64.39,169677.92,0.00,0.00,0.00,184.94,346.65,0.00,7302.00,0.00
868,B,Siege,碎颅击,No Module,64.38,90872.06,0.00,0.00,0.00,1800.00,1611.59,0.00,2251.00,18.37
869,B,Hadiya,沙地战术改良,No Module,64.30,105708.00,0.00,0.00,0.00,1800.00,1800.00,0.00,2895.00,24.50
870,B,Schwarz,RAW,ARC-X: Customized Crossbow Accessory Suit,64.23,156150.00,0.00,0.00,0.00,1800.00,1563.89,0.00,2003.00,300.00
871,B,Vetochki,绝境抵抗,No Module,64.22,81218.75,0.00,0.00,0.00,1800.00,1800.00,0.00,1200.00,0.00
872,B,Sakiko Togawa,满月的舞会 (Organ),No Module,64.18,622.29,279110.90,0.00,0.00,721.74,150.50,0.00,2056.00,0.00
873,B,Młynar,RAW,LIB-X: “鞘中人”,64.15,0.00,0.00,0.00,0.00,1800.00,1800.00,0.00,5688.00,0.00
874,B,Laios,RAW,DRE-Y: 想要带回迷宫的包裹,64.15,184383.33,0.00,0.00,0.00,1742.99,376.09,0.00,9811.20,0.00
875,B,Siege,冲锋号令·γ型,SOL-X: 'Candy Box',64.14,67565.71,0.00,0.00,0.00,1800.00,1800.00,0.00,2251.00,0.00
876,B,Horn,RAW,FOR-X: Exemplars,64.13,100601.75,0.00,0.00,0.00,350.84,1210.89,0.00,7302.00,0.00
877,B,Ceylon,水灵庇护,No Module,64.13,0.00,0.00,0.00,0.00,1800.00,1800.00,33104.84,1455.00,60.00
878,B,Thorns,护身尖刺,LOR-X: The Salt and the Sand,64.11,185049.09,0.00,0.00,0.00,597.22,1800.00,0.00,4020.80,0.00
879,B,Carnelian,沙缚镣锁,PLX-Y: Always Have Your Back,64.10,0.00,192308.23,0.00,0.00,258.42,563.50,0.00,2106.00,2.00
880,B,Proviso,致胜立论,No Module,64.05,0.00,123621.12,0.00,0.00,1800.00,629.95,0.00,1298.00,112.36
881,B,Rosmontis,RAW,BOM-X: 'Notes',64.01,270756.00,0.00,0.00,0.00,179.47,1800.00,0.00,2219.00,0.00
882,B,Haruka,夏末游鳞,No Module,63.95,0.00,0.00,0.00,0.00,1800.00,1800.00,69415.20,4717.50,0.00
883,B,Purestream,RAW,No Module,63.92,0.00,0.00,0.00,0.00,1800.00,1800.00,22301.75,1365.00,0.00
884,B,Sharp,亮剑,No Module,63.89,235094.93,0.00,0.00,0.00,1800.00,1356.61,0.00,5208.00,0.00
885,B,Gummy,食粮烹制,No Module,63.87,14220.00,0.00,0.00,0.00,1800.00,1800.00,25056.00,2550.00,122.20
886,B,Kal'tsit,指令：结构加固,PHY-X: Mon2tr,63.82,0.00,0.00,0.00,0.00,1800.00,1800.00,66578.95,3266.00,48.99
887,B,Shining,RAW,PHY-X: 'Followers',63.81,0.00,0.00,0.00,0.00,1800.00,1800.00,105719.09,2419.50,65.00
888,B,Aegis,启动狂宴模式,No Module,63.80,139540.34,0.00,0.00,0.00,1800.00,1322.16,0.00,1762.22,272.49
889,B,Eyjafjalla,火山,CCR-Y: 宠物大赛第一名,63.77,0.00,173181.49,0.00,0.00,407.99,555.73,0.00,1973.00,48.00
890,B,Beeswax,守卫尖碑,PLX-X: 'Beeswax's Blessing',63.68,0.00,144900.00,0.00,0.00,486.99,961.98,0.00,4585.05,36.75
891,B,Hellagur,满月,"SBL-X: Zouhou, a Sheath for Contempt",63.62,201900.00,0.00,0.00,0.00,955.97,1800.00,0.00,9283.33,0.00
892,B,Senshi,单人份料理,GUA-Y: 非魔法厨艺,63.57,20881.67,0.00,0.00,0.00,1800.00,1800.00,114649.92,4514.71,0.00
893,B,Passenger,辉煌裂片,CHA-X: Electromagnetic Regulator,63.55,0.00,95972.80,0.00,0.00,760.24,1187.92,0.00,2804.40,380.33
894,B,Skadi the Corrupting Heart,RAW,BAR-X: 蜕化的残迹,63.51,0.00,0.00,0.00,0.00,1800.00,1800.00,93848.62,1733.00,0.00
895,B,Ela,眩目阻滞,No Module,63.04,215806.43,0.00,0.00,0.00,977.48,976.67,0.00,1468.00,66.67
896,B,Zuo Le,RAW,"SBL-X: 'You Night, Be Fleeting'",62.90,142500.00,0.00,0.00,0.00,1800.00,1800.00,0.00,10288.00,0.00
897,B,Flametail,迅敏直觉,SOL-X: Their Future,62.86,52370.29,0.00,0.00,0.00,1800.00,1800.00,0.00,2138.00,0.00
898,B,Muelsyse,渐进性润化,TAC-X: Dresser Flowing Shape,62.85,93212.44,0.00,0.00,0.00,1800.00,1800.00,0.00,2003.00,0.00
899,B,Vigil,领袖的馈赠,TAC-X: La Punciuta,62.82,64615.50,0.00,0.00,0.00,1800.00,1800.00,0.00,2322.00,0.00
900,B,Delphine,RAW,MSC-Y: Gloomy Justice,62.80,0.00,182856.96,0.00,0.00,1676.23,583.08,0.00,4295.20,300.00
901,B,Siege,冲锋号令·γ型,No Module,62.61,40609.52,0.00,0.00,0.00,1800.00,1800.00,0.00,2251.00,0.00
902,B,Lessing,虔修对决,DRE-X: Blade Seal,62.60,294668.00,0.00,0.00,0.00,985.39,782.78,0.00,4082.00,0.00
903,B,Bena,快速修剪,"PUM-Y: The Jeffreys Collection of Fairytales New and Old, Hardback Edition",62.58,215004.91,0.00,0.00,0.00,1404.65,1800.00,0.00,6474.23,0.00
904,B,Mr. Nothing,RAW,No Module,62.57,148275.00,0.00,0.00,0.00,1692.57,1800.00,0.00,2398.00,48.99
905,B,Młynar,未照耀的荣光,LIB-X: “鞘中人”,62.54,31880.64,0.00,0.00,0.00,1375.19,1800.00,0.00,5688.00,0.00
906,B,Haze,赤色之瞳,No Module,62.52,0.00,49383.45,0.00,0.00,1800.00,770.00,0.00,1090.00,460.00
907,B,Sankta Miksaparato,八臂电锯侠,SPT-Y: “老朋友”,62.51,164237.52,0.00,0.00,0.00,1800.00,1677.69,0.00,1200.00,0.00
908,B,Nasti,“拱卫”,No Module,62.48,0.00,140155.73,0.00,0.00,1791.39,1064.28,0.00,3152.44,144.00
909,B,Pallas,信念的长鞭,No Module,62.48,113931.43,0.00,0.00,0.00,1800.00,1800.00,0.00,1963.00,2.45
910,B,Kirin R Yato,乱舞,No Module,62.48,172425.12,0.00,0.00,0.00,350.11,1800.00,0.00,1629.00,0.00
911,B,Ash,RAW,MAR-X: Modified Breaching Grenade,62.46,71668.00,0.00,0.00,0.00,1800.00,1800.00,0.00,1859.00,73.49
912,B,Wang,RAW,TRP-X: 兽形棋盒,62.44,94435.29,308570.94,0.00,0.00,315.32,251.66,0.00,1630.00,0.00
913,B,Snegurochka,数据分析,No Module,62.35,48091.68,0.00,0.00,0.00,1800.00,1800.00,0.00,1645.00,0.00
914,B,'Justice Knight',RAW,No Module,62.34,1075.00,0.00,0.00,0.00,1800.00,1800.00,0.00,1159.00,375.00
915,B,Passenger,聚焦指令,No Module,62.31,0.00,97940.07,0.00,0.00,627.85,1170.87,0.00,2804.40,375.00
916,B,Saga,RAW,SOL-X: Where to Find the Burdenbeast?,62.24,127200.00,0.00,0.00,0.00,1800.00,1800.00,0.00,6703.20,0.00
917,B,Specter the Unchained,生存的技巧,PUM-X: 'Vinyl Record' Box,62.20,221470.83,0.00,0.00,0.00,1427.74,1477.00,0.00,3755.19,0.00
918,B,Bryophyta,土石的恒心,INS-X: Sobremesa,62.08,122448.00,0.00,0.00,0.00,1586.04,1800.00,0.00,2090.00,61.24
919,B,Haze,攻击力强化·β型,No Module,62.07,0.00,65762.40,0.00,0.00,1800.00,1039.31,0.00,1420.00,460.00
920,B,Philae,灵河护佑,PRP-X: 被摩挲的日子,62.03,69937.50,0.00,0.00,225875.62,1390.93,282.58,0.00,8591.41,0.00
921,B,Penance,RAW,UNY-X: The Thorny Road That Continues,62.00,203133.13,39262.40,0.00,0.00,1569.31,669.40,0.00,7621.25,0.00
922,B,Flametail,迅敏直觉,No Module,61.95,34438.10,0.00,0.00,0.00,1800.00,1800.00,0.00,2138.00,0.00
923,B,Lee,驱凶辟邪,No Module,61.82,140515.63,0.00,0.00,0.00,1677.62,1532.14,0.00,2427.00,111.75
924,B,Exusiai,过载模式,MAR-Y: 欢迎光临，企鹅物流,61.71,301568.43,0.00,0.00,0.00,1009.84,1800.00,0.00,1890.49,0.00
925,B,Mitm,承压功率,TAC-Y: 内敛锋芒,61.63,60361.99,0.00,0.00,0.00,1800.00,1800.00,0.00,3040.00,0.00
926,B,Reed,迅捷打击·γ型,CHG-Y: Spear Clean Suit,61.62,200594.01,0.00,0.00,0.00,1590.94,1800.00,0.00,4311.00,0.00
927,B,Nasti,“拱卫”,CRA-X: 工程师们,61.54,0.00,149286.40,0.00,0.00,1673.39,997.15,0.00,1463.41,144.00
928,B,Platinum,天马视域,MAR-X: Solo Travel Kit,61.50,337352.50,0.00,0.00,0.00,886.63,332.41,0.00,1720.00,0.00
929,B,Astgenne the Lightchaser,并流连锁,DEC-Y: 探索者的收藏,61.50,0.00,132684.45,0.00,0.00,1379.12,816.81,0.00,1535.00,188.00
930,B,Penance,一锤定音,No Module,61.47,126454.00,37142.40,0.00,0.00,1800.00,1358.97,0.00,6285.25,61.24
931,B,Vulpisfoglia,小施惩戒,SOL-Y: 剑舞,61.43,90571.43,0.00,0.00,0.00,1800.00,1800.00,0.00,4300.00,0.00
932,B,Rathalos S Noir Corne,居合拔刀气刃斩,SBL-X: Noir Corne's Personal Notes,61.42,368262.20,0.00,0.00,0.00,799.19,1800.00,0.00,8036.00,0.00
933,B,Hadiya,RAW,No Module,61.40,47196.00,0.00,0.00,0.00,1800.00,1800.00,0.00,2895.00,24.50
934,B,Logos,RAW,CCR-Y: 《语义范式百科》,61.27,0.00,157440.00,0.00,0.00,1394.11,451.14,0.00,1663.00,202.13
935,B,Papyrus,临考发挥,XAH-X: 小小的种子,61.25,0.00,0.00,0.00,0.00,1800.00,1800.00,149285.44,1715.00,50.00
936,B,Eunectes,RAW,HES-Y: 'The Little Ugly Thing',61.18,179212.50,0.00,0.00,0.00,1800.00,1800.00,0.00,8468.21,79.20
937,B,Croissant,磁爆锤,PRO-Y: Combat Boots,61.18,20868.67,0.00,0.00,0.00,1800.00,1800.00,0.00,3870.00,48.99
938,B,Logos,RAW,No Module,61.06,0.00,157440.00,0.00,0.00,1394.11,451.14,0.00,1663.00,202.13
939,B,Texas,冲锋号令·γ型,SOL-Y: Private Field Supply Package,61.04,0.00,67552.40,0.00,0.00,1800.00,1800.00,0.00,2105.00,0.00
940,B,May,束缚电击,MAR-X: Novice Detective's Gift Bag,61.04,107454.91,0.00,0.00,0.00,1800.00,1800.00,0.00,1632.00,6.41
941,B,Siege,跃空锤,SOL-X: 'Candy Box',60.89,52992.66,0.00,0.00,0.00,920.53,1800.00,0.00,2251.00,0.00
942,B,Snow Hunter,强力击·β型,HUN-X: 过去的狩猎,60.85,378429.67,0.00,0.00,0.00,773.50,258.09,0.00,1920.00,30.00
943,B,Lessing,苦修破誓,No Module,60.80,204666.88,0.00,0.00,0.00,1800.00,1800.00,0.00,7732.20,0.00
944,B,Odda,锻锤之力,HAM-X: 旧背包,60.73,178520.42,0.00,0.00,0.00,181.63,746.17,0.00,2843.00,0.00
945,B,Swire the Elegant Wit,RAW,MER-Y: 诗怀雅的龙门美食指南,60.59,158947.20,0.00,0.00,0.00,1800.00,1800.00,0.00,6136.00,0.00
946,B,Bassline,沉音宁神,GUA-Y: Bestowed Trinket,60.59,16633.47,0.00,0.00,0.00,1800.00,1800.00,48225.48,3741.18,120.00
947,B,Passenger,辉煌裂片,No Module,60.55,0.00,79832.13,0.00,0.00,945.29,1434.59,0.00,2804.40,378.33
948,B,Nymph,笞心击,PRI-Y: 烦恼问诊匣,60.54,0.00,0.00,0.00,421283.33,678.54,134.40,0.00,1820.00,0.00
949,B,Entelechia,RAW,REA-Y: 玫瑰色故事集,60.40,130442.31,0.00,0.00,0.00,543.64,1800.00,0.00,8233.41,0.00
950,B,Ptilopsis,治疗强化·γ型,RIN-X: Medic Environment Analyze System,60.37,0.00,0.00,0.00,0.00,1800.00,1800.00,148686.15,1710.00,0.00
951,B,Taraxacum,RAW,No Module,60.29,0.00,0.00,0.00,0.00,1800.00,1800.00,91122.81,2056.82,96.00
952,B,Crownslayer,硝烟震爆,EXE-Y: 木炭画,60.28,76636.51,0.00,0.00,0.00,1800.00,1800.00,0.00,1830.00,330.00
953,B,Nymph,笞心击,PRI-X: 心声,60.17,0.00,0.00,0.00,395140.00,734.08,146.60,0.00,1800.00,0.00
954,B,Totter,破虹,SIE-X: Snow Globe,60.16,198915.36,0.00,0.00,0.00,170.07,336.90,0.00,1550.00,0.00
955,B,Utage,分神,SBL-X: Flip Phone,60.16,120780.00,0.00,0.00,0.00,1800.00,1800.00,0.00,6707.20,0.00
956,B,Entelechia,灵与欲的惜别,No Module,60.12,161969.23,0.00,0.00,0.00,207.98,1010.19,0.00,5463.53,0.00
957,B,Narantuya,RAW,LPS-Y: “致我们的老大”,60.09,120117.50,0.00,0.00,0.00,1800.00,1800.00,0.00,2800.00,190.00
958,B,Uika Misumi,我悲悯的,BAR-X: 占卜的意义,60.09,0.00,0.00,0.00,0.00,1800.00,1800.00,108713.64,1610.00,85.71
959,B,Perfumer the Distilled,RAW,BLS-Y: “双月的呼吸”,60.09,0.00,0.00,0.00,0.00,1800.00,1800.00,72000.00,2557.69,128.00
960,B,Eyjafjalla the Hvít Aska,云霭荫佑,No Module,60.02,0.00,0.00,0.00,0.00,1800.00,1800.00,86471.40,1554.12,96.00
961,B,Bagpipe,迅捷打击·γ型,CHG-Y: Stick and Sack,60.02,183900.31,0.00,0.00,0.00,1747.93,1800.00,0.00,4471.20,0.00
962,B,Nine-Colored Deer,仙山去远,BLS-X: 'Elixir',60.00,0.00,0.00,0.00,0.00,1800.00,1800.00,78618.75,5577.01,57.60
963,B,Gavial the Invincible,RAW,CEN-X: The Binding of Gavial,59.88,116277.73,0.00,0.00,0.00,240.25,1800.00,0.00,4659.00,0.00
964,B,Passenger,RAW,No Module,59.83,0.00,75790.00,0.00,0.00,1003.75,1522.61,0.00,2804.40,375.00
965,B,Kal'tsit,指令：战术协同,No Module,59.83,71970.90,0.00,0.00,0.00,1800.00,1800.00,117787.98,1633.00,0.00
966,B,Ho'olheyak,RAW,CCR-X: 'Bibliotheca',59.79,0.00,124619.18,0.00,0.00,1800.00,853.87,0.00,3501.00,36.55
967,B,Snow Hunter,RAW,HUN-X: 过去的狩猎,59.78,275655.00,0.00,0.00,0.00,1118.73,469.57,0.00,1920.00,30.00
968,B,Blemishine,慑敌辉光,No Module,59.72,62412.80,0.00,0.00,0.00,1800.00,1800.00,28458.36,3242.00,150.00
969,B,Melanite,饱和脉冲,ARC-Y: Fragrance Earrings,59.67,202896.54,0.00,0.00,0.00,1571.31,710.82,0.00,1664.00,240.00
970,B,Muelsyse,浅层非熵适应,TAC-X: Dresser Flowing Shape,59.64,72949.95,0.00,0.00,0.00,1800.00,1800.00,0.00,2003.00,0.00
971,B,Qanipalaat,冻风,CCR-Y: Homemade Trekking Poles,59.63,0.00,124183.80,0.00,0.00,1800.00,626.94,0.00,1650.00,330.00
972,B,Fuze,火力侦察,No Module,59.58,53128.42,0.00,0.00,0.00,168.61,1800.00,0.00,2660.00,0.00
973,B,Gummy,RAW,GUA-X: Медовые Пряники,59.58,60835.00,0.00,0.00,0.00,1800.00,1800.00,0.00,4200.00,4.78
974,B,Quercus,RAW,BLS-X: Rusty Stick,59.48,0.00,0.00,0.00,0.00,1800.00,1800.00,52560.00,4739.81,93.44
975,B,Ho'olheyak,群星逶迤,No Module,59.47,0.00,89537.85,0.00,0.00,1800.00,1283.83,0.00,3186.00,13.71
976,B,Blemishine,光芒涌动,GUA-X: 'Knight Primus',59.34,182741.19,0.00,0.00,0.00,1759.89,1169.09,36708.00,5553.00,0.00
977,B,Młynar,未宽解的悲哀,LIB-X: “鞘中人”,59.34,47877.28,0.00,0.00,0.00,1800.00,1800.00,0.00,5688.00,0.00
978,B,Hoshiguma the Breacher,无始无明,AST-X: 无迹,59.34,0.00,128857.50,0.00,0.00,1800.00,1068.24,0.00,5814.00,6.67
979,B,Hellagur,满月,SBL-Y: 'Горячий снег',59.26,201900.00,0.00,0.00,0.00,955.97,1800.00,0.00,8620.00,0.00
980,B,Chiave,冲锋号令·γ型,SOL-Y: Homemade Jack,59.21,65640.11,0.00,0.00,0.00,1800.00,1800.00,0.00,1824.00,0.00
981,B,Ash,RAW,No Module,59.20,53820.00,0.00,0.00,0.00,1800.00,1800.00,0.00,1689.00,48.99
982,B,Gladiia,缺水的掌握怒海,HOK-X: Consul's Handmirror,59.15,190153.26,0.00,0.00,0.00,1361.11,1491.51,0.00,5757.71,0.00
983,B,Sideroca,生命回复·γ型,AFT-Y: 漫游者的压舱石,59.15,0.00,128240.64,0.00,0.00,1800.00,1548.35,0.00,3165.00,0.00
984,B,Horn,RAW,No Module,58.98,58859.93,0.00,0.00,0.00,666.33,1800.00,0.00,7667.50,0.00
